Date,Airline,Departure,Arrival,OverallRating,ReportLink
17/02/2023,Transavia Airlines,RTMRotterdam The Haque ,BCNBarcelona El Prat ,9,../flightlog/report_566699_Transavia Airlines_6061.htm
16/02/2023,GOL Transportes Aereos,CWBCuritiba Afonso Pena Int'l ,CGHSao Paulo Congonhas Int'l ,9,../flightlog/report_567184_GOL Transportes Aereos_1413.htm
16/02/2023,Qatar Airways,DOHDoha International ,CGKJakarta Soekarno - Hatta ,9,../flightlog/report_566526_Qatar Airways_956.htm
14/02/2023,American Airlines,PHXPhoenix Sky Harbor International Airport - Arizona,LAXLos Angeles International - California,10,../flightlog/report_566404_American Airlines_1330.htm
13/02/2023,Ryanair,EDIEdinburgh  ,NTENantes Atlantique ,8,../flightlog/report_568679_Ryanair_1051.htm
12/02/2023,Vueling Airlines,BCNBarcelona El Prat ,PRGPrague Václava Havla Praha ,7,../flightlog/report_566252_Vueling Airlines_8652.htm
10/02/2023,Vueling Airlines,LCGLa Coruna Alvedro ,LGWLondon Gatwick ,10,../flightlog/report_566052_Vueling Airlines_6019.htm
09/02/2023,Vueling Airlines,PRGPrague Václava Havla Praha ,BCNBarcelona El Prat ,7,../flightlog/report_566251_Vueling Airlines_8655.htm
06/02/2023,Egyptair,FRAFrankfurt Frankfurt Main ,CAICairo Cairo International ,7,../flightlog/report_565579_Egyptair_786.htm
04/02/2023,Lufthansa,MUCMunich Franz Josef Strauss ,MLAMalta Luqa ,10,../flightlog/report_565583_Lufthansa_1924.htm
04/02/2023,Lufthansa,BUDBudapest Ferihegy ,MUCMunich Franz Josef Strauss ,10,../flightlog/report_565582_Lufthansa_1675.htm
27/01/2023,WestJet Airlines,YYCCalgary Calgary Int'l - Alberta,YXXAbbotsford Abbotsford Airport - British Columbia,5,../flightlog/report_585457_WestJet Airlines_455.htm
27/01/2023,WestJet Airlines,ZLOManzanillo  ,YYCCalgary Calgary Int'l - Alberta,7,../flightlog/report_565287_WestJet Airlines_2273.htm
20/01/2023,LATAM Brasil,VIXVitoria Eurico Salles ,CGHSao Paulo Congonhas Int'l ,8,../flightlog/report_563522_LATAM Brasil_3101.htm
16/01/2023,KLM,BCNBarcelona El Prat ,AMSAmsterdam Schiphol ,9,../flightlog/report_563242_KLM_1670.htm
15/01/2023,British Airways,LGWLondon Gatwick ,NCENice Cote D'Azur ,9,../flightlog/report_563257_British Airways_2626.htm
15/01/2023,Ryanair,CAGCagliari Elmas ,BUDBudapest Ferihegy ,9,../flightlog/report_563209_Ryanair_4831.htm
13/01/2023,Transavia France,ORYParis Orly ,LISLisbon Lisboa ,9,../flightlog/report_610032_Transavia France_7644.htm
12/01/2023,WestJet Airlines,YYCCalgary Calgary Int'l - Alberta,ZLOManzanillo  ,7,../flightlog/report_563321_WestJet Airlines_2272.htm
12/01/2023,WestJet Airlines,YXXAbbotsford Abbotsford Airport - British Columbia,YYCCalgary Calgary Int'l - Alberta,8,../flightlog/report_563320_WestJet Airlines_456.htm
11/01/2023,Ryanair,BUDBudapest Ferihegy ,CAGCagliari Elmas ,9,../flightlog/report_562893_Ryanair_4832.htm
10/01/2023,Qatar Airways,CGKJakarta Soekarno - Hatta ,DOHDoha International ,9,../flightlog/report_562740_Qatar Airways_957.htm
09/01/2023,Ryanair,BRUBrussels Brussels ,BERBerlin Brandenburg ,9,../flightlog/report_562602_Ryanair_167.htm
08/01/2023,Wizz Air,KRKKrakow J. Paul II Balice Intl ,MXPMilan Malpensa ,8,../flightlog/report_623542_Wizz Air_65067.htm
07/01/2023,Southwest Airlines,DENDenver International - Colorado,LGBLong Beach Long Beach Municipal - California,7,../flightlog/report_562430_Southwest Airlines_1752.htm
07/01/2023,Southwest Airlines,MKEMilwaukee General Mitchell Int'l  - Wisconsin,DENDenver International - Colorado,7,../flightlog/report_562331_Southwest Airlines_2041.htm
07/01/2023,Super Air Jet,DPSDenpessar - Bali Ngurah Rai International ,CGKJakarta Soekarno - Hatta ,8,../flightlog/report_562243_Super Air Jet_735.htm
07/01/2023,Aerolineas Argentinas,EZEBuenos Aires Ministro Pistarini ,FTEEl Calafate  ,10,../flightlog/report_563235_Aerolineas Argentinas_1878.htm
05/01/2023,American Airlines,CLTCharlotte Douglas - North Carolina,AUSAustin Bergstrom - Texas,6,../flightlog/report_562193_American Airlines_764.htm
05/01/2023,Wizz Air,MXPMilan Malpensa ,KRKKrakow J. Paul II Balice Intl ,8,../flightlog/report_598876_Wizz Air_65068.htm
04/01/2023,American Airlines,YULMontreal Trudeau International (Dorval)  - Quebec,CLTCharlotte Douglas - North Carolina,5,../flightlog/report_562192_American Airlines_1350.htm
02/01/2023,Super Air Jet,CGKJakarta Soekarno - Hatta ,DPSDenpessar - Bali Ngurah Rai International ,8,../flightlog/report_561957_Super Air Jet_736.htm
02/01/2023,Aerolineas Argentinas,CORCordoba Pajas Blancas ,GRUSao Paulo Guarulhos Int'l ,7,../flightlog/report_562338_Aerolineas Argentinas_1256.htm
01/01/2023,LATAM Brasil,CGHSao Paulo Congonhas Int'l ,CWBCuritiba Afonso Pena Int'l ,9,../flightlog/report_562001_LATAM Brasil_3014.htm
30/12/2022,Air France,ORYParis Orly ,TLSToulouse Blagnac ,10,../flightlog/report_561818_Air France_6134.htm
30/12/2022,Corendon Airlines Europe,HAJHanover Langenhagen ,ACELanzarote  ,6,../flightlog/report_561765_Corendon Airlines Europe_2247.htm
29/12/2022,American Airlines,CLTCharlotte Douglas - North Carolina,YULMontreal Trudeau International (Dorval)  - Quebec,10,../flightlog/report_562106_American Airlines_1350.htm
29/12/2022,American Airlines,AUSAustin Bergstrom - Texas,CLTCharlotte Douglas - North Carolina,6,../flightlog/report_562105_American Airlines_2549.htm
28/12/2022,LATAM Brasil,CWBCuritiba Afonso Pena Int'l ,CGHSao Paulo Congonhas Int'l ,9,../flightlog/report_562000_LATAM Brasil_3001.htm
28/12/2022,Delta Air Lines,JFKNew York John F Kennedy Int'l - New York,BCNBarcelona El Prat ,8,../flightlog/report_561693_Delta Air Lines_168.htm
26/12/2022,Aerolineas Argentinas,GRUSao Paulo Guarulhos Int'l ,CORCordoba Pajas Blancas ,9,../flightlog/report_562337_Aerolineas Argentinas_1257.htm
23/12/2022,Air France,TLSToulouse Blagnac ,ORYParis Orly ,10,../flightlog/report_561819_Air France_6135.htm
21/12/2022,American Airlines,SNASanta Ana John Wayne - California,DFWDallas Dallas Ft Worth - Texas,6,../flightlog/report_561241_American Airlines_1953.htm
21/12/2022,American Airlines,DFWDallas Dallas Ft Worth - Texas,MKEMilwaukee General Mitchell Int'l  - Wisconsin,6,../flightlog/report_561242_American Airlines_1234.htm
19/12/2022,British Airways,LGWLondon Gatwick ,BODBordeaux Merignac ,5,../flightlog/report_561152_British Airways_2788.htm
17/12/2022,Vueling Airlines,BCNBarcelona El Prat ,BERBerlin Brandenburg ,8,../flightlog/report_560886_Vueling Airlines_1884.htm
16/12/2022,American Airlines,JFKNew York John F Kennedy Int'l - New York,LAXLos Angeles International - California,10,../flightlog/report_560747_American Airlines_300.htm
14/12/2022,Vueling Airlines,BERBerlin Brandenburg ,BCNBarcelona El Prat ,5,../flightlog/report_560885_Vueling Airlines_1885.htm
11/12/2022,Delta Air Lines,AMSAmsterdam Schiphol ,JFKNew York John F Kennedy Int'l - New York,8,../flightlog/report_560471_Delta Air Lines_47.htm
05/12/2022,Qatar Airways,DOHDoha International ,CGKJakarta Soekarno - Hatta ,10,../flightlog/report_559901_Qatar Airways_956.htm
30/11/2022,Air Europa,MADMadrid Adolfo Suárez ,LISLisbon Lisboa ,7,../flightlog/report_576793_Air Europa_1157.htm
29/11/2022,KLM,BCNBarcelona El Prat ,AMSAmsterdam Schiphol ,9,../flightlog/report_559402_KLM_1670.htm
28/11/2022,Air Europa,LISLisbon Lisboa ,MADMadrid Adolfo Suárez ,6,../flightlog/report_576794_Air Europa_1152.htm
24/11/2022,Transavia Airlines,EINEindhoven Welschap ,BCNBarcelona El Prat ,8,../flightlog/report_558984_Transavia Airlines_6787.htm
23/11/2022,Thai Airways,BKKBangkok Suvarnabhumi Airport ,CPHCopenhagen Kastrup ,8,../flightlog/report_558899_Thai Airways_950.htm
22/11/2022,United Airlines,LHRLondon Heathrow ,EWRNew York Newark International - New York,10,../flightlog/report_558884_United Airlines_941.htm
